id,fact_text,source,date,category,url,ministry
pib_001,India achieved 100% electrification of villages under the Deen Dayal Upadhyaya Gram Jyoti Yojana by April 2018.,PIB,2018-04-28,Rural Development,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1530999,Ministry of Power
pib_002,"Pradhan Mantri Jan Dhan Yojana has opened over 46 crore bank accounts as of 2023, making it the world's largest financial inclusion program.",PIB,2023-08-28,Financial Inclusion,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1954321,Ministry of Finance
pib_003,Ayushman Bharat scheme has provided free healthcare to over 5 crore families covering 50 crore beneficiaries.,PIB,2023-09-17,Healthcare,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960234,Ministry of Health and Family Welfare
pib_004,Digital India initiative has connected over 6 lakh villages with optical fiber under BharatNet project.,PIB,2023-10-02,Digital Infrastructure,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1965432,Ministry of Electronics and Information Technology
pib_005,Swachh Bharat Mission constructed over 11 crore toilets and achieved Open Defecation Free status for entire country by October 2019.,PIB,2019-10-02,Sanitation,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1586937,Ministry of Jal Shakti
pib_006,"PM-KISAN scheme provides Rs 6,000 annual income support to 12 crore farmer families across India.",PIB,2023-12-01,Agriculture,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1982345,Ministry of Agriculture and Farmers Welfare
pib_007,"India's renewable energy capacity reached 175 GW in 2022, ahead of the target timeline.",PIB,2022-11-15,Renewable Energy,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1876543,Ministry of New and Renewable Energy
pib_008,"UPI (Unified Payments Interface) processed over 10 billion transactions in August 2023, making India a global leader in digital payments.",PIB,2023-09-01,Digital Payments,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1955123,Ministry of Electronics and Information Technology
pib_009,Beti Bachao Beti Padhao scheme improved Child Sex Ratio from 918 to 934 girls per 1000 boys at national level.,PIB,2023-01-22,Women Empowerment,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1895432,Ministry of Women and Child Development
pib_010,"Startup India initiative has recognized over 1 lakh startups, creating a robust entrepreneurship ecosystem.",PIB,2023-07-15,Entrepreneurship,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1943567,Ministry of Commerce and Industry
