id,fact_text
1,"The World Health Organization (WHO) declared COVID-19 a pandemic on March 11, 2020."
2,"Apple announced the iPhone 15 series on September 12, 2023, featuring USB-C connectivity."
3,"The global average temperature has increased by approximately 1.1 degrees Celsius since pre-industrial times according to NASA."
4,"India's population surpassed China's in 2023, making it the world's most populous country."
5,"The James Webb Space Telescope was launched on December 25, 2021, by NASA."
6,"Bitcoin reached an all-time high of nearly $69,000 in November 2021."
7,"The 2024 Summer Olympics were held in Paris, France from July 26 to August 11, 2024."
8,"SpaceX successfully launched its first crewed mission to the International Space Station in May 2020."
9,"The United Kingdom officially left the European Union on January 31, 2020."
10,"ChatGPT was released by OpenAI on November 30, 2022."
11,"The FIFA World Cup 2022 was held in Qatar from November 20 to December 18, 2022."
12,"Elon Musk acquired Twitter for approximately $44 billion in October 2022."
13,"The global internet user count exceeded 5 billion people in 2022 according to ITU statistics."
14,"COVID-19 vaccines do not contain microchips or tracking devices according to WHO and CDC."
15,"The Earth is approximately 4.54 billion years old based on scientific evidence."
16,"Mount Everest is 8,848.86 meters (29,031.7 feet) tall according to Nepal and China's joint survey."
17,"The human brain contains approximately 86 billion neurons according to neuroscience research."
18,"The speed of light in vacuum is exactly 299,792,458 meters per second."
19,"The Great Wall of China is not visible from space with the naked eye, contrary to popular belief."
20,"Vaccines are safe and effective in preventing diseases according to extensive scientific research."
21,"Climate change is primarily caused by human activities according to 97% of climate scientists."
22,"The Amazon rainforest produces about 20% of the world's oxygen."
23,"Water boils at 100 degrees Celsius (212 degrees Fahrenheit) at sea level atmospheric pressure."
24,"The human body is approximately 60% water by weight in adults."
25,"Antibiotics are effective against bacterial infections but not viral infections."
26,"The Moon is gradually moving away from Earth at about 3.8 centimeters per year."
27,"Smoking tobacco significantly increases the risk of cancer and heart disease."
28,"Regular exercise reduces the risk of cardiovascular disease and improves mental health."
29,"The Pacific Ocean is the largest and deepest ocean on Earth."
30,"DNA testing can determine biological relationships with over 99% accuracy."
