chunk_id,text,original_id,chunk_index,total_chunks,start_pos,end_pos,metadata,fact_text
pib_001_chunk_0,India achieved 100% electrification of villages under the Deen Dayal Upadhyaya Gram Jyoti Yojana by April 2018.,pib_001,0,1,0,111,"{'source': 'PIB', 'date': '2018-04-28', 'category': 'Rural Development', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1530999', 'ministry': 'Ministry of Power'}",India achieved 100% electrification of villages under the Deen Dayal Upadhyaya Gram Jyoti Yojana by April 2018.
pib_002_chunk_0,"Pradhan Mantri Jan Dhan Yojana has opened over 46 crore bank accounts as of 2023, making it the world's largest financial inclusion program.",pib_002,0,1,0,140,"{'source': 'PIB', 'date': '2023-08-28', 'category': 'Financial Inclusion', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1954321', 'ministry': 'Ministry of Finance'}","Pradhan Mantri Jan Dhan Yojana has opened over 46 crore bank accounts as of 2023, making it the world's largest financial inclusion program."
pib_003_chunk_0,Ayushman Bharat scheme has provided free healthcare to over 5 crore families covering 50 crore beneficiaries.,pib_003,0,1,0,109,"{'source': 'PIB', 'date': '2023-09-17', 'category': 'Healthcare', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960234', 'ministry': 'Ministry of Health and Family Welfare'}",Ayushman Bharat scheme has provided free healthcare to over 5 crore families covering 50 crore beneficiaries.
pib_004_chunk_0,Digital India initiative has connected over 6 lakh villages with optical fiber under BharatNet project.,pib_004,0,1,0,103,"{'source': 'PIB', 'date': '2023-10-02', 'category': 'Digital Infrastructure', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1965432', 'ministry': 'Ministry of Electronics and Information Technology'}",Digital India initiative has connected over 6 lakh villages with optical fiber under BharatNet project.
pib_005_chunk_0,Swachh Bharat Mission constructed over 11 crore toilets and achieved Open Defecation Free status for entire country by October 2019.,pib_005,0,1,0,132,"{'source': 'PIB', 'date': '2019-10-02', 'category': 'Sanitation', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1586937', 'ministry': 'Ministry of Jal Shakti'}",Swachh Bharat Mission constructed over 11 crore toilets and achieved Open Defecation Free status for entire country by October 2019.
pib_006_chunk_0,"PM-KISAN scheme provides Rs 6,000 annual income support to 12 crore farmer families across India.",pib_006,0,1,0,97,"{'source': 'PIB', 'date': '2023-12-01', 'category': 'Agriculture', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1982345', 'ministry': 'Ministry of Agriculture and Farmers Welfare'}","PM-KISAN scheme provides Rs 6,000 annual income support to 12 crore farmer families across India."
pib_007_chunk_0,"India's renewable energy capacity reached 175 GW in 2022, ahead of the target timeline.",pib_007,0,1,0,87,"{'source': 'PIB', 'date': '2022-11-15', 'category': 'Renewable Energy', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1876543', 'ministry': 'Ministry of New and Renewable Energy'}","India's renewable energy capacity reached 175 GW in 2022, ahead of the target timeline."
pib_008_chunk_0,"UPI (Unified Payments Interface) processed over 10 billion transactions in August 2023, making India a global leader in digital payments.",pib_008,0,1,0,137,"{'source': 'PIB', 'date': '2023-09-01', 'category': 'Digital Payments', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1955123', 'ministry': 'Ministry of Electronics and Information Technology'}","UPI (Unified Payments Interface) processed over 10 billion transactions in August 2023, making India a global leader in digital payments."
pib_009_chunk_0,Beti Bachao Beti Padhao scheme improved Child Sex Ratio from 918 to 934 girls per 1000 boys at national level.,pib_009,0,1,0,110,"{'source': 'PIB', 'date': '2023-01-22', 'category': 'Women Empowerment', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1895432', 'ministry': 'Ministry of Women and Child Development'}",Beti Bachao Beti Padhao scheme improved Child Sex Ratio from 918 to 934 girls per 1000 boys at national level.
pib_010_chunk_0,"Startup India initiative has recognized over 1 lakh startups, creating a robust entrepreneurship ecosystem.",pib_010,0,1,0,107,"{'source': 'PIB', 'date': '2023-07-15', 'category': 'Entrepreneurship', 'url': 'https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1943567', 'ministry': 'Ministry of Commerce and Industry'}","Startup India initiative has recognized over 1 lakh startups, creating a robust entrepreneurship ecosystem."
